"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"18RL29PM01";1042;"18RL29PM01";"M-30";438779.692967258;4474603.83139903
"09XC09PM01";6898;"09XC09PM01";"M-30";443637.978784794;4473190.24994028
"PM22502";6697;"PM22502";"M-30";436461.877439351;4480556.36569951
"PM423091";10209;"PM423091";"M-30";434137.098522742;4479627.25819926
"PM40462";10176;"PM40462";"M-30";443912.89762667;4477454.70656164
"PM13012";10269;"PM13012";"M-30";440947.866011407;4481962.11337691
"90ET58PM01";6883;"90ET58PM01";"M-30";441756.538368957;4470723.76015013
"90ET93PM01";6884;"90ET93PM01";"M-30";441528.612764692;4471098.66581696
"PM20261";6720;"PM20261";"M-30";443664.148620713;4479455.09239372
"PM10612";3800;"PM10612";"M-30";444048.139773487;4476024.70192908
"PM21301";6765;"PM21301";"M-30";441334.573606874;4470802.71481276
"PM10711";6666;"PM10711";"M-30";444186.554891219;4474983.79180819
"PM10572";6663;"PM10572";"M-30";444103.462791962;4476431.00554184
"PM10728";3489;"PM10728";"M-30";444161.682364982;4474969.57105428
"PM30754";6667;"PM30754";"M-30";443638.93687214;4474826.84657292
"15RR60PM03";6860;"15RR60PM03";"M-30";439676.471217593;4472633.77058342
"15RR60PM02";6861;"15RR60PM02";"M-30";439672.855155423;4472628.60478032
"14NC71PM01";7118;"14NC71PM01";"M-30";439836.274686502;4472312.22936295
"PM20756";6740;"PM20756";"M-30";444253.071522195;4474787.83675688
"PM10501";3818;"PM10501";"M-30";444196.597653038;4477109.0419513
"PM10502";3819;"PM10502";"M-30";444173.15479482;4477109.87668213
"PM10611";3799;"PM10611";"M-30";444058.494256508;4476022.70424048
"PM10561";3820;"PM10561";"M-30";444133.965428958;4476530.72678158
"PM21307";3531;"PM21307";"M-30";441328.531285143;4470791.84307244
"PM21941";3532;"PM21941";"M-30";438117.158578439;4475347.43164408
"PM40018";10199;"PM40018";"M-30";444204.10137718;4483989.08004648
"PM40951";10204;"PM40951";"M-30";444995.299411622;4472662.73603756
"PM22081";3533;"PM22081";"M-30";437488.42987874;4476417.63514704
"PM22211";6767;"PM22211";"M-30";437385.518987839;4477506.33286784
"PM22241";6768;"PM22241";"M-30";437234.206250515;4478064.60339936
"PM22341";3836;"PM22341";"M-30";437014.882958205;4478881.98484003
"PM31851";6938;"PM31851";"M-30";435193.697341551;4472538.50696446
"PM22391";3558;"PM22391";"M-30";436817.051786755;4479447.88464534
"PM10712";3488;"PM10712";"M-30";444169.132279978;4474986.03261008
"PM22971";3494;"PM22971";"M-30";440570.835852426;4481798.2257061
"PM23011";6772;"PM23011";"M-30";440986.186150031;4481998.97731872
"PM30902";3838;"PM30902";"M-30";443751.414353038;4473257.05705999
"PM31263";3839;"PM31263";"M-30";441398.315804112;4470441.67071575
"PM31264";6777;"PM31264";"M-30";441390.856956726;4470444.04385847
"PM31301";7127;"PM31301";"M-30";441119.364570822;4469584.27439356
"PM40902";6792;"PM40902";"M-30";443758.417733159;4473284.55270879
"PM31451";6778;"PM31451";"M-30";439838.750318966;4471579.03600479
"PM31453";6822;"PM31453";"M-30";439183.480260132;4470907.1095708
"18RV21PM01";3546;"18RV21PM01";"M-30";437237.980953398;4473723.89575967
"14NC96PM01";7145;"14NC96PM01";"M-30";439815.647216469;4472309.2779474
"14NL24PM01";6868;"14NL24PM01";"M-30";440506.944912487;4471938.48825239
"15RH53PM01";1033;"15RH53PM01";"M-30";439471.712073199;4472487.75806729
"15RM08PM01";6848;"15RM08PM01";"M-30";439216.601324237;4472528.18001139
"PM22082";6948;"PM22082";"M-30";437480.85031531;4476416.80125488
"04FL92PM01";3545;"04FL92PM01";"M-30";437229.222499128;4473702.57262646
"04FT14PM01";3542;"04FT14PM01";"M-30";437979.391132118;4474116.10899705
"04TL40PM01";6900;"04TL40PM01";"M-30";444716.895770585;4473038.5081656
"04TL40PM02";6899;"04TL40PM02";"M-30";444712.635478917;4473033.53782532
"05FT10PM01";1001;"05FT10PM01";"M-30";437255.413416138;4473705.61836563
"05TL00PM02";6905;"05TL00PM02";"M-30";445081.165923698;4472600.28003909
"PM31801";6780;"PM31801";"M-30";437032.819923522;4473558.65286195
"15XL49PM01";6854;"15XL49PM01";"M-30";439482.043679399;4472493.4404507
"16RC01PM01";1040;"16RC01PM01";"M-30";438727.390225056;4473088.52229521
"17NC65PM01";6840;"17NC65PM01";"M-30";438816.64189446;4474137.92971673
"18RL09PM01";1014;"18RL09PM01";"M-30";438801.129046253;4474820.69347449
"PM31452";6779;"PM31452";"M-30";438957.285436933;4469281.07123844
"PM10141";6644;"PM10141";"M-30";443164.001869596;4480445.97765987
"PM10447";6658;"PM10447";"M-30";443986.514318037;4477621.1955895
"PM20948";10178;"PM20948";"M-30";443595.105338434;4472988.71882486
"05TL00PM03";6906;"05TL00PM03";"M-30";445078.325729252;4472596.01974743
"08RE14PM01";1048;"08RE14PM01";"M-30";443760.763142872;4473596.3571018
"08RE66PM01";6907;"08RE66PM01";"M-30";443798.440729819;4473302.64656537
"14NC58PM01";7117;"14NC58PM01";"M-30";439976.491024502;4472236.51885008
"15RA15PM01";6856;"15RA15PM01";"M-30";439801.362845377;4472384.51594711
"15RC05PM01";1032;"15RC05PM01";"M-30";439815.310513747;4472382.44962587
"PM40005";3797;"PM40005";"M-30";443191.149362774;4482757.54380423
